"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum"
"42","ZcTag084",180753,1,"Transmission","Mk10",26,"08:00:00 30-May-2019","12:00:00 30-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"43","ZcTag084",180753,1,"Transmission","Mk10",18,"12:00:00 30-May-2019","16:00:00 30-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"44","ZcTag084",180753,1,"Transmission","Mk10",20,"16:00:00 30-May-2019","20:00:00 30-May-2019",NA,NA,NA,0,0,1776,15.5,NA,NA,NA,NA,NA,NA,NA
"45","ZcTag084",180753,1,"Transmission","Mk10",21,"20:00:00 30-May-2019","00:00:00 31-May-2019",NA,NA,NA,0,0,1552,15.5,NA,NA,NA,NA,NA,NA,NA
"46","ZcTag084",180753,1,"Transmission","Mk10",16,"00:00:00 31-May-2019","04:00:00 31-May-2019",NA,NA,NA,0,0,1680,15.5,NA,NA,NA,NA,NA,NA,NA
"47","ZcTag084",180753,1,"Transmission","Mk10",16,"04:00:00 31-May-2019","08:00:00 31-May-2019",NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA
"48","ZcTag084",180753,1,"Transmission","Mk10",17,"08:00:00 31-May-2019","12:00:00 31-May-2019",NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA
"49","ZcTag084",180753,1,"Transmission","Mk10",11,"12:00:00 31-May-2019","16:00:00 31-May-2019",NA,NA,NA,0,0,1680,15.5,NA,NA,NA,NA,NA,NA,NA
"50","ZcTag084",180753,1,"Transmission","Mk10",26,"16:00:00 31-May-2019","20:00:00 31-May-2019",NA,NA,NA,0,0,1712,15.5,NA,NA,NA,NA,NA,NA,NA
"51","ZcTag084",180753,1,"Transmission","Mk10",18,"20:00:00 31-May-2019","00:00:00 01-Jun-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"52","ZcTag084",180753,1,"Transmission","Mk10",13,"00:00:00 01-Jun-2019","04:00:00 01-Jun-2019",NA,NA,NA,0,0,1712,15.5,NA,NA,NA,NA,NA,NA,NA
"53","ZcTag084",180753,1,"Transmission","Mk10",20,"04:00:00 01-Jun-2019","08:00:00 01-Jun-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"54","ZcTag084",180753,1,"Transmission","Mk10",19,"08:00:00 01-Jun-2019","12:00:00 01-Jun-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"55","ZcTag084",180753,1,"Transmission","Mk10",26,"12:00:00 01-Jun-2019","16:00:00 01-Jun-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"56","ZcTag084",180753,1,"Transmission","Mk10",20,"16:00:00 01-Jun-2019","20:00:00 01-Jun-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"57","ZcTag084",180753,1,"Transmission","Mk10",22,"20:00:00 01-Jun-2019","00:00:00 02-Jun-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"58","ZcTag084",180753,1,"Transmission","Mk10",22,"00:00:00 02-Jun-2019","04:00:00 02-Jun-2019",NA,NA,NA,0,0,1616,15.5,NA,NA,NA,NA,NA,NA,NA
"59","ZcTag084",180753,1,"Transmission","Mk10",22,"04:00:00 02-Jun-2019","08:00:00 02-Jun-2019",NA,NA,NA,0,0,1616,15.5,NA,NA,NA,NA,NA,NA,NA
"60","ZcTag084",180753,1,"Transmission","Mk10",18,"08:00:00 02-Jun-2019","12:00:00 02-Jun-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"61","ZcTag084",180753,1,"Transmission","Mk10",20,"12:00:00 02-Jun-2019","16:00:00 02-Jun-2019",NA,NA,NA,0,0,976,7.5,NA,NA,NA,NA,NA,NA,NA
"62","ZcTag084",180753,1,"Transmission","Mk10",24,"16:00:00 02-Jun-2019","20:00:00 02-Jun-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"63","ZcTag084",180753,1,"Transmission","Mk10",17,"20:00:00 02-Jun-2019","00:00:00 03-Jun-2019",NA,NA,NA,0,0,1072,15.5,NA,NA,NA,NA,NA,NA,NA
"64","ZcTag084",180753,1,"Transmission","Mk10",18,"00:00:00 03-Jun-2019","04:00:00 03-Jun-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
"65","ZcTag084",180753,1,"Transmission","Mk10",24,"04:00:00 03-Jun-2019","08:00:00 03-Jun-2019",NA,NA,NA,0,0,1072,15.5,NA,NA,NA,NA,NA,NA,NA
"66","ZcTag084",180753,1,"Transmission","Mk10",24,"08:00:00 03-Jun-2019","12:00:00 03-Jun-2019",NA,NA,NA,0,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"67","ZcTag084",180753,1,"Transmission","Mk10",28,"12:00:00 03-Jun-2019","16:00:00 03-Jun-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"68","ZcTag084",180753,1,"Transmission","Mk10",21,"16:00:00 03-Jun-2019","20:00:00 03-Jun-2019",NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA
"69","ZcTag084",180753,1,"Transmission","Mk10",17,"20:00:00 03-Jun-2019","00:00:00 04-Jun-2019",NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA
"70","ZcTag084",180753,1,"Transmission","Mk10",16,"00:00:00 04-Jun-2019","04:00:00 04-Jun-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"71","ZcTag084",180753,1,"Transmission","Mk10",14,"04:00:00 04-Jun-2019","08:00:00 04-Jun-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"72","ZcTag084",180753,1,"Transmission","Mk10",17,"08:00:00 04-Jun-2019","12:00:00 04-Jun-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"73","ZcTag084",180753,1,"Transmission","Mk10",17,"12:00:00 04-Jun-2019","16:00:00 04-Jun-2019",NA,NA,NA,0,0,1552,15.5,NA,NA,NA,NA,NA,NA,NA
"74","ZcTag084",180753,1,"Transmission","Mk10",20,"16:00:00 04-Jun-2019","20:00:00 04-Jun-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"75","ZcTag084",180753,1,"Transmission","Mk10",20,"20:00:00 04-Jun-2019","00:00:00 05-Jun-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"76","ZcTag084",180753,1,"Transmission","Mk10",20,"00:00:00 05-Jun-2019","04:00:00 05-Jun-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"77","ZcTag084",180753,1,"Transmission","Mk10",16,"04:00:00 05-Jun-2019","08:00:00 05-Jun-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"78","ZcTag084",180753,1,"Transmission","Mk10",18,"08:00:00 05-Jun-2019","12:00:00 05-Jun-2019",NA,NA,NA,0,0,1552,15.5,NA,NA,NA,NA,NA,NA,NA
"79","ZcTag084",180753,1,"Transmission","Mk10",18,"12:00:00 05-Jun-2019","16:00:00 05-Jun-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"80","ZcTag084",180753,1,"Transmission","Mk10",17,"16:00:00 05-Jun-2019","20:00:00 05-Jun-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"81","ZcTag084",180753,1,"Transmission","Mk10",21,"20:00:00 05-Jun-2019","00:00:00 06-Jun-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"82","ZcTag082",180754,1,"Transmission","Mk10",49,"16:00:00 11-May-2019","20:00:00 11-May-2019",NA,NA,NA,0,0,992,7.5,NA,NA,NA,NA,NA,NA,NA
"83","ZcTag082",180754,1,"Transmission","Mk10",40,"20:00:00 11-May-2019","00:00:00 12-May-2019",NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA
"84","ZcTag082",180754,1,"Transmission","Mk10",26,"00:00:00 12-May-2019","04:00:00 12-May-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"85","ZcTag082",180754,1,"Transmission","Mk10",23,"04:00:00 12-May-2019","08:00:00 12-May-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"86","ZcTag082",180754,1,"Transmission","Mk10",27,"08:00:00 12-May-2019","12:00:00 12-May-2019",NA,NA,NA,0,0,2352,31.5,NA,NA,NA,NA,NA,NA,NA
"87","ZcTag082",180754,1,"Transmission","Mk10",26,"12:00:00 12-May-2019","16:00:00 12-May-2019",NA,NA,NA,0,0,2288,31.5,NA,NA,NA,NA,NA,NA,NA
"88","ZcTag082",180754,1,"Transmission","Mk10",25,"16:00:00 12-May-2019","20:00:00 12-May-2019",NA,NA,NA,0,0,2352,31.5,NA,NA,NA,NA,NA,NA,NA
"89","ZcTag082",180754,1,"Transmission","Mk10",21,"20:00:00 12-May-2019","00:00:00 13-May-2019",NA,NA,NA,0,0,2416,31.5,NA,NA,NA,NA,NA,NA,NA
"90","ZcTag082",180754,1,"Transmission","Mk10",14,"00:00:00 13-May-2019","04:00:00 13-May-2019",NA,NA,NA,0,0,1680,15.5,NA,NA,NA,NA,NA,NA,NA
"91","ZcTag082",180754,1,"Transmission","Mk10",12,"04:00:00 13-May-2019","08:00:00 13-May-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"92","ZcTag082",180754,1,"Transmission","Mk10",17,"08:00:00 13-May-2019","12:00:00 13-May-2019",NA,NA,NA,0,0,2000,15.5,NA,NA,NA,NA,NA,NA,NA
