DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag084,180753,Mk10,23:53:49 01-Jun-2019,Argos,0,35.5799,-74.4989,1551,6708,358,107,,,,,,
ZcTag084,180753,Mk10,00:02:28 02-Jun-2019,Argos,0,35.5610,-74.6572,2643,17806,392,89,,,,,,
ZcTag084,180753,Mk10,01:14:27 02-Jun-2019,Argos,B,35.6261,-74.7717,10946,19806,6048,61,,,,,,
ZcTag084,180753,Mk10,01:38:07 02-Jun-2019,Argos,1,35.5805,-74.8017,1422,16716,120,84,,,,,,
ZcTag084,180753,Mk10,01:38:07 02-Jun-2019,Argos,0,35.5801,-74.7581,1720,23481,126,77,,,,,,
ZcTag084,180753,Mk10,02:44:26 02-Jun-2019,Argos,B,35.5759,-74.7872,3513,5258,2347,83,,,,,,
ZcTag084,180753,Mk10,08:26:14 02-Jun-2019,Argos,A,35.6027,-74.7100,4657,41106,527,1,,,,,,
ZcTag084,180753,Mk10,10:12:15 02-Jun-2019,Argos,0,35.6530,-74.7629,4449,64106,308,104,,,,,,
ZcTag084,180753,Mk10,10:38:42 02-Jun-2019,Argos,0,35.7402,-74.8308,22581,67485,7555,101,,,,,,
ZcTag084,180753,Mk10,14:39:34 02-Jun-2019,Argos,0,35.6944,-75.0583,1664,26520,104,106,,,,,,
ZcTag084,180753,Mk10,15:45:10 02-Jun-2019,Argos,B,35.6787,-75.0872,3342,5049,2212,97,,,,,,
ZcTag084,180753,Mk10,21:25:34 02-Jun-2019,Argos,0,35.9015,-74.7915,16845,48136,5894,118,,,,,,
ZcTag084,180753,Mk10,00:53:39 03-Jun-2019,Argos,B,35.8640,-74.6963,11834,14501,9656,80,,,,,,
ZcTag084,180753,Mk10,02:29:49 03-Jun-2019,Argos,B,35.7192,-74.7534,4498,10522,1923,139,,,,,,
ZcTag084,180753,Mk10,09:57:38 03-Jun-2019,Argos,A,35.7137,-74.6945,5385,46189,627,119,,,,,,
ZcTag084,180753,Mk10,11:43:02 03-Jun-2019,Argos,A,35.5733,-74.6721,6556,25326,1697,102,,,,,,
ZcTag084,180753,Mk10,12:09:20 03-Jun-2019,Argos,B,35.5742,-74.6651,7993,21917,2914,103,,,,,,
ZcTag084,180753,Mk10,14:21:46 03-Jun-2019,Argos,A,35.5081,-74.7378,18334,75857,4431,124,,,,,,
ZcTag084,180753,Mk10,15:09:09 03-Jun-2019,Argos,B,35.4805,-74.7413,20610,51408,8262,122,,,,,,
ZcTag084,180753,Mk10,15:32:52 03-Jun-2019,Argos,0,35.5906,-74.7212,9423,40585,2187,112,,,,,,
ZcTag084,180753,Mk10,15:57:03 03-Jun-2019,Argos,1,35.6673,-74.8824,1307,3894,438,1,,,,,,
ZcTag084,180753,Mk10,23:18:19 03-Jun-2019,Argos,0,35.3656,-75.5048,22987,290106,1821,58,,,,,,
