"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange"
"66","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:15:00",NA,NA,NA,1270,106.5,NA,NA,NA,NA
"67","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:20:00",NA,NA,NA,1270,106.5,NA,NA,NA,NA
"68","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:25:00",NA,NA,NA,1088,103,NA,NA,NA,NA
"69","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:30:00",NA,NA,NA,907,101,NA,NA,NA,NA
"70","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:35:00",NA,NA,NA,907,101,NA,NA,NA,NA
"71","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:40:00",NA,NA,NA,589,52.5,NA,NA,NA,NA
"72","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:45:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"73","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:50:00",NA,NA,NA,11,11.5,NA,NA,NA,NA
"74","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","18:55:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"75","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:00:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"76","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:05:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"77","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:10:00",NA,NA,NA,113,24.5,NA,NA,NA,NA
"78","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:15:00",NA,NA,NA,56,12.5,NA,NA,NA,NA
"79","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:20:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"80","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:25:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"81","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:30:00",NA,NA,NA,204,25.5,NA,NA,NA,NA
"82","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:35:00",NA,NA,NA,11,11.5,NA,NA,NA,NA
"83","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:40:00",NA,NA,NA,159,25,NA,NA,NA,NA
"84","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:45:00",NA,NA,NA,317,49.5,NA,NA,NA,NA
"85","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:50:00",NA,NA,NA,249,25.5,NA,NA,NA,NA
"86","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","19:55:00",NA,NA,NA,113,24.5,NA,NA,NA,NA
"87","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:00:00",NA,NA,NA,28,10,NA,NA,NA,NA
"88","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:05:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"89","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:10:00",NA,NA,NA,332,43,NA,NA,NA,NA
"90","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:15:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"91","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:20:00",NA,NA,NA,129,21,NA,NA,NA,NA
