"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","dive_labels"
"2946","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:15:00,NA,NA,NA,140,22.5,NA,NA,NA,NA,493
"2947","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:20:00,NA,NA,NA,220,23.5,NA,NA,NA,NA,493
"2948","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:25:00,NA,NA,NA,280,44.5,NA,NA,NA,NA,493
"2949","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:30:00,NA,NA,NA,220,23.5,NA,NA,NA,NA,493
"2950","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:35:00,NA,NA,NA,30,11,NA,NA,NA,NA,0
"2951","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:40:00,NA,NA,NA,140,22.5,NA,NA,NA,NA,494
"2952","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:45:00,NA,NA,NA,220,23.5,NA,NA,NA,NA,494
"2953","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:50:00,NA,NA,NA,280,44.5,NA,NA,NA,NA,494
"2954","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",18:55:00,NA,NA,NA,140,22.5,NA,NA,NA,NA,494
"2955","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:00:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"2956","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:05:00,NA,NA,NA,641,90,NA,NA,NA,NA,495
"2957","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:10:00,NA,NA,NA,961,95,NA,NA,NA,NA,495
"2958","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:15:00,NA,NA,NA,961,95,NA,NA,NA,NA,495
